userName,content,score,at
Nur Jannah Mushthofa,aplikasinya bagus tp kenapa saat saya mau ganti tema cht kok GK bisa yah pdhl memori sy GK penuh.... tolong yh diperbaiki lagi biar GK ada kekecewaan... 😊🙏🏻,5,2025-12-24 03:39:36
Nuraini Aini,masa sayaa gabisa masuk aduuh kacaw emng,1,2025-12-24 03:39:02
Willy Eka pradana,tetangga saudara dan saya banyak yang kenak blokir karna spam . why,3,2025-12-24 03:38:07
amir hizbullah,"kenak blokir mulu, katanya karena spam, padahal whatsapp pribadi saya",2,2025-12-24 03:35:39
Ikvani Hakikatus zahniah,"sangat bagus fitur""nya, kadang juga lemot sedikit",4,2025-12-24 03:32:15
Bustang Bustang,bagus,5,2025-12-24 03:29:40
aris kurniawan,Ok,4,2025-12-24 03:29:10
Suandi Andu,bagus,1,2025-12-24 03:28:59
benni robiansyah,ok,5,2025-12-24 03:28:41
Ben'z Mixed 9'2'9,"Lebih di tingkatkat lagi donk,masa status video wa versi HD masih tetep PECAH video nya..!!!makin kesini makin berat bagus versi lama !",1,2025-12-24 03:26:32
Om Har,sagat baik,5,2025-12-24 03:26:16
Nahla Prasetya,sangat bagus dan baik,5,2025-12-24 03:25:27
Aan Syafaaturrahman,bagus bisa mempermudah percakapan,5,2025-12-24 03:24:35
Rika Rohana,ok,5,2025-12-24 03:22:43
Ris Ma,Gara² sering ikut acara update.... Semua simpanan saya hilang ter utama foto² yang saya simpan di chet ke diri sendiri,2,2025-12-24 03:22:37
Sueb Fahrizal,kenapa skrg di Android 16 versi one UI 8.0 tidak ada pop up nontification nya? jadi sulit tahu kalau ada pesan masuk di WA. harus buka Aplikasi WA dahulu.,5,2025-12-24 03:21:15
Riskiboyben Iki,keren bang,5,2025-12-24 03:21:02
Perlagung empu Awang,baik sekali,5,2025-12-24 03:20:43
Dispatch FarhanD,"tolong jangan selalu memblokir nomer kami, karena tuntutan pekerjaan kami harus menggunakan whatsapp",2,2025-12-24 03:20:28
Israwahyuningsi Gultom,saya sangat puas sama aplikasi ini sangat membantu,5,2025-12-24 03:19:04
Fazia Tasyah,gak ada bedanya di hp saya ga puas nyesel saya mending whatsapp yang lama dari pada ini,1,2025-12-24 03:18:02
Edi Sulaeman,Makasih aplikasi ini bisa membantu saya dgn baik..tpi ko sekarang asa bingung Fitur nya,5,2025-12-24 03:17:33
A Nur,kembalikan ke aturan aplikasi,5,2025-12-24 03:15:36
Nada,kena spam,1,2025-12-24 03:14:09
Syafira Nur andini (Syafira),bagus,1,2025-12-24 03:11:22
Ranti Doer,Tolong APUS pengaturan pemblokiran sementara di akun watsap saya,5,2025-12-24 03:10:57
Abas Kuce,baik,5,2025-12-24 03:07:37
Ningrat Suwardi,Mantap sekali,5,2025-12-24 03:06:47
Inyak Ry,sangat Baik,1,2025-12-24 03:06:17
tntriyuliyanti28,"NGEBLUR BGT BUAT VIDIO, TOLONG DIPERBAIKI, UDAH DIHD DARI APLIKASINYA TAPI TETEP NGEBLUR PDAHAL VIDIO ASLINYA HD BGT LOHH",2,2025-12-24 03:05:48
Dandung Saputra,wanya di batasi saya bekerja di kurir dan terus menerus di batasi sering meminta sherlock untuk pengiriman namun watshap di blokir atau di batasi terus menerus,1,2025-12-24 03:05:30
Azkayra Malaika,karna banyak bug dan saya chat kontak baru dikira WhatsApp saya pelecehan,4,2025-12-24 03:02:25
Yuliyana Yuli,ok,5,2025-12-24 03:02:11
Auberta Fayola,keren,5,2025-12-24 03:01:21
Nanda Eka yulisyah,baik,5,2025-12-24 02:58:09
Revalina Rahmadani,Koleksilah warna tema yang menarik dan lucu lucu untuk whatsapp,5,2025-12-24 02:56:59
Damas Nurenajati,"bagus, sangat bermanfaat",5,2025-12-24 02:56:22
Deris deris Deris,baik-baik ajah,1,2025-12-24 02:54:53
Siti Cholisatul W (Siti S),"selebihnya bagus aja, tapi pas mau ganti divace susah sih data chat lama ga ke cadangkan ulang, pas mau balik ke HP lama jg muter muter mulu ga bisa di buka udah 2 hari mau heran tapi yg lain jg ngerasain berapa eror nya bikin kesel sendiri",3,2025-12-24 02:54:05
Welly Bahtiar,setelah update.. 2 hari yg lalu.. wow.. bug nya parah min.. bintang 5 kuturunin dah..,3,2025-12-24 02:52:19
abraham alfaromanurung,"mau login ke nomor saya, tapi di pesan ngak masuk, email gk masuk,jadi saya dapat kodenya kek mana?, udah minta bantuan tapi jawabannya mengecewakan,gimana dong di situ ada grub, dan nomor saudara saya, mau login ngak bisa, kalo dulu masih bisa, sekarang ngak bisa, mana HP ku ke riset datanya, mau daftar nomor ku sebelumnya malah ngak bisa, kecewaaa berat....",1,2025-12-24 02:52:05
Andira Mardhiah,terima kasih,5,2025-12-24 02:51:55
Muhammad nur Irfan,knpa wa kok eror jringn sinyl gk bisa msuk dan jg gk bisa ke buka wa,5,2025-12-24 02:51:45
Zaki Athallah,baru awal belajar cara mendapatkan penghasilan tambahan,5,2025-12-24 02:51:05
R VD,tidak bisa dibuka,1,2025-12-24 02:50:52
Pratiwi Harmain,bagus kerena bisa catan dari jarah jauh,5,2025-12-24 02:48:10
Andre#1,"kenapa sii WhatsApp nya ke band Mulu padahal gak ngpain"".",1,2025-12-24 02:44:05
Izza Novi,bagus kok buat chatan,5,2025-12-24 02:42:39
Rizkia,WhatsApp aku update nya lama,3,2025-12-24 02:42:16
Ummi Hani,Bsgus ada pembaharuan,1,2025-12-24 02:41:48
Pengguna Google,verifikasi Nomor telepon,4,2025-12-24 02:40:48
Soleha Rimayani,"satu kata: ""WA nya bagus tapi sumpah nyesel sy Update🤧""",5,2025-12-24 02:40:35
Christianto Tjandra,"sudah sekian tahun memakai wa, eh hari ini di block, tiba2 nggak bisa buka. Tdk ada postingan yg aneh2, tp di block 😭😭😭",5,2025-12-24 02:39:12
Sholikul Adib,membantu,5,2025-12-24 02:36:54
Qisya Insyirah,"baguss, bnyk yg bilang apk ny jelek dan buruk namun, sampai sekarang apk ny biasa² saja dan sudah ter update! update ny juga baguss semuaa. tapi, bisa g developer update ny lebih bagus lgi?? Contoh ny: ai nya tdk usah terlalu baku... dan menambah kan labeh banyak laguu seperti Spotify! udh segitu aja, trims developer! semangat trus update ny!",5,2025-12-24 02:35:03
Abdilah Ahlam Zulfadli,sangat puas,5,2025-12-24 02:32:22
Rofi Udin,WhatsApp makin top,5,2025-12-24 02:30:20
Ardian A31,mantap,5,2025-12-24 02:28:41
Zia Whebe,wa saya tidak bisa di tekan atau di oprasikan mohon bantuan nya,5,2025-12-24 02:28:04
Putra Zavana,kenapa sering berhenti sendiri tolong di benahi,5,2025-12-24 02:23:24
Muhtadin,lumayan bagus,5,2025-12-24 02:22:58
Giri Natha,"aplikasi sering ke restart sendiri, pencadangan rusak. pihakaplikasi tidak mau tau dan tidak memberikan solusi.",1,2025-12-24 02:22:44
Udien Ikky,Insya Allāh,4,2025-12-24 02:21:35
Asep Aminnulloh,ok,5,2025-12-24 02:20:31
Ak Akd,sangat baik,5,2025-12-24 02:18:34
Hafid Along79,bagus,2,2025-12-24 02:17:43
Abdul Azim,"di telepon menghubungkan,di video call bisa. aneh bat",2,2025-12-24 02:14:17
Farid Celleng,❤,5,2025-12-24 02:13:22
Sofiyatun Sopiah,fitur pencarian benerin lah,1,2025-12-24 02:13:20
Mai Dalina,Baik,1,2025-12-24 02:13:13
Sarbinih Binih,Iya bagus,3,2025-12-24 02:10:50
Bang Ronni,gak bisa berkata² lagi pokok nya👍👍👍,5,2025-12-24 02:10:30
Dodi Yogaa,Smoga bisa trbntu,5,2025-12-24 02:09:16
alfi airul,"hilangkan fitur saluran, banyak konten pornografi, dan promosi judi",1,2025-12-24 02:08:54
Andreas Jelvian R,sangat membantu sekali🙏🏻😇,5,2025-12-24 02:06:49
Dewi Sriana,WhatsApp sangatembantu komunikasi baik lisan n tulisan. Bagus..👍,5,2025-12-24 02:06:31
Kunyuk Hitam2040,"tiap hari minta update, menganggu bngt",5,2025-12-24 02:03:34
Tri navista Aini,"knpsi wa dikit-dikit update mulu, pdhl fiturnya gitu gitu aja,",1,2025-12-24 02:01:45
Nikmat Maulana,sangat bermanfaat,5,2025-12-24 02:01:44
Eko Saputra,jos gandos pokonya,4,2025-12-24 01:58:52
Ubed Kampak,bagus dan sangat berguna,5,2025-12-24 01:56:11
Titi Winarti,ok,5,2025-12-24 01:55:58
Clara Zaveera,woi update in,5,2025-12-24 01:55:16
HANITA,kenapa sii memuat terussss,2,2025-12-24 01:54:58
Mbendol 1892,boleh membantu kita,5,2025-12-24 01:52:08
Nur Achmad Haryanto,good,5,2025-12-24 01:50:18
Jusianti Spy,bagus,5,2025-12-24 01:50:15
Aulrion 1,"ui ux nya malah tambah ribet dibanding versi sebelumnya, kocak banget meta",1,2025-12-24 01:50:13
Mass Mass,"gak jelas, akun ku tiba tiba di banned. bikin nomor lagi eh malah di banned juga. gak jelas sumpah.",1,2025-12-24 01:49:23
Rauzatul Isra,knp gk bisa,5,2025-12-24 01:49:05
Parikun Hardianto sugito,baik baik saja,5,2025-12-24 01:48:59
cip Oong,Baik,5,2025-12-24 01:48:57
Sigit Dwi,sementara 1 bintang dlu. jika 2 akun nge bug terus,1,2025-12-24 01:47:39
Daus,bagus,5,2025-12-24 01:46:06
Sudibyo Yn,kerja tambahan lewat Instagram alternatif meraih duit di masa sulit.,5,2025-12-24 01:43:50
Neneng,GOOD LOCK,3,2025-12-24 01:43:23
Fika Amelia,sangat tidak bagus tiba tiba harus oplay,1,2025-12-24 01:42:36
Asman Asman,"kenapa WhatsApp saya selalu di SPAM,saya tidak melanggar aturan aplikasi WhatsApp ?",5,2025-12-24 01:42:22
ega putra,"perbaiki sistem status nya, setiap post vidio di status selalu blur, padahal vidio yang mau di post udah resolusi paling HD, tetapi buram ketika post di status, jadi please🙏🏻",5,2025-12-24 01:41:29
Ivanda Indah nuraini,buat story blur,3,2025-12-24 01:40:15
Zhafiraa Ghaniyaa,mau login aja susah bangettt,1,2025-12-24 01:39:18
Arbani,Terbaik,5,2025-12-24 01:37:24
Aby Wian,WhatsApp ini tidak bisa mendownload sebelum memori tidak penuh,4,2025-12-24 01:36:53
Evania Jasmine,"aku tau wa ini sangat berguna malah sangat berguna bangett, tapi kenapa ya sering erorr, padahal aku sayanggg bangett sama wa ini, tolonglah min pulihkan nomer dan akun saya di WhatsApp messenger ini🥺🙏",5,2025-12-24 01:36:06
Sabarno Sabarno,verry good nice,5,2025-12-24 01:36:02
Ari Saputra,Sangat membantu,5,2025-12-24 01:35:47
Hanida Intan,chat tidak bisa disematkan secara permanen 0,1,2025-12-24 01:34:52
Amrul,bagus banget,5,2025-12-24 01:34:48
Agus Saputra,mantap,5,2025-12-24 01:33:08
Decha Arta.m Decha,memuaskan,5,2025-12-24 01:32:40
Sinta Sinta,sangat baguss,5,2025-12-24 01:30:13
Samsung galaxy,wa saya ga bisa di buka,2,2025-12-24 01:29:46
Tapal Kuda,sangat berguna,5,2025-12-24 01:29:34
Kertajati Trans,Bagus,5,2025-12-24 01:27:55
Huroiroh,"bikin akun baru malah dibatasi karena spam, udah 2 kali dalam 1 hari. Gajelas banget",1,2025-12-24 01:27:44
Mama Haura,Bagus,3,2025-12-24 01:27:41
Alitopan,bagus,5,2025-12-24 01:27:21
pitarnis lahagu,sangat baik,5,2025-12-24 01:27:14
Pelantara Garu,saya menyukai wa,5,2025-12-24 01:26:08
Rudy Ferdy,Sangat bagus,5,2025-12-24 01:26:05
sasimo lonte,cepat,5,2025-12-24 01:25:48
Lukmanto,ok baik,5,2025-12-24 01:22:47
Anna farrel,skrg tambah ribet,2,2025-12-24 01:22:35
viveiii 22,mohon maaf yaa ini kok efek kameranya nya nggak ada ya padahal udah tok hidupin,5,2025-12-24 01:22:35
Joemadi Namako,mudah digunakan disegala aktifitas,5,2025-12-24 01:21:32
Arig Bontoh,lumayan bagus,4,2025-12-24 01:21:14
Fauzan Uzan,tidak bisa instal,5,2025-12-24 01:21:12
Anace Kabuno,bagus,5,2025-12-24 01:18:56
Catur Prasetiyo,tolong solusi pesan vidio foto dokumen yg sudah terdownload tidak ada di dalem galeri,5,2025-12-24 01:17:04
Mrs Krisna,"sekarang whatsapp kenapa ga bisa nyematkan orang yahh, kalo udahh disematkan, trus beberapa menit kemudian sematnya hilang lagii, kek gimana nihhh!!!! , Tiba-tiba banyak fitur baruu",4,2025-12-24 01:15:40
Isti qomah,tmpt pembaharuan status x tidak ada,4,2025-12-24 01:13:30
Suriani,bagus kok,5,2025-12-24 01:11:34
Koes JD,mash yg terbaik,5,2025-12-24 01:11:19
Efendi ASG,Update terbaru ini kacau bgt .. susah buat kirim data file,5,2025-12-24 01:10:42
Muhammad Ilham,kenapa sih WhatsApp saya selalu ke belokir padahal saya tidak melakukan sepam ataupun sejenisnya tolong di perbaiki itu sistem WhatsApp nya sudah 5 kalian WhatsApp saya ke belokir Tampa sebab @whatsapp messeo,3,2025-12-24 01:09:48
Toni Tonijah,saya suka,5,2025-12-24 01:08:53
Fiola Sari,baik,5,2025-12-24 01:08:41
War KA,banyak bug logo saja,2,2025-12-24 01:05:28
Ruski Adi,mantap,1,2025-12-24 01:04:40
khairul nizam,ok,5,2025-12-24 01:03:14
mari intan,"tolong min kenapa kalau saya buka wa nya slalu di spam, kenapa yh , tolong lh di perbaiki bug nya lgi terima kasih",2,2025-12-24 01:02:58
Mochammad Machin,top dan top,5,2025-12-24 01:01:28
Syaukat Ali,baik,5,2025-12-24 00:58:38
Andi Krisdianto,mantap...👍,4,2025-12-24 00:57:26
RifkySetia EkaPhutra,"kenapa sekarang sering bug, seperti susah tekan emoticon, stiker, aneh bnget deh makin kesini, tolong dong bug seperti itu di perbaiki, karena berpengaruh untuk wa yang di gunakan untuk kerja",2,2025-12-24 00:56:00
Riri Susanti,layanan kerja nya sangat bagus saya suka,5,2025-12-24 00:53:00
Yance Pasya,mudah dan nyaman dalam mengoperasikannya. terus berinovasi,5,2025-12-24 00:52:44
Fathia Azzahra,"whatsapp nya bagus, berguna, tapi minusnya dii aku sering bgt ke ban gatau kenapa.",4,2025-12-24 00:52:21
Mahesa Angkasa,bantu kenapa saya tidak bisa login,5,2025-12-24 00:49:35
sa jojo,ini tolong kenapa akun saya kena spam mulu cara mengatasi biar gak kena spam lagi gmn sudah ikuti cara yg dibagikan masih aja kena spam tiap hari kek gitu nunggu peninjauan lama pula makin hari makin gak jelas,1,2025-12-24 00:49:06
Rizal Irwanu,apliksi nya bagus dan nyaman dari dulu selalu pakek aplikasi ini,5,2025-12-24 00:47:21
Rafa Nasya,"saya harus riset ulang terus gara² gk bisa di buka,🤪",1,2025-12-24 00:43:38
suharsi suharsi,keren,5,2025-12-24 00:37:26
Diana Diana,"Memberikan infomasi yang baik kepada orang lain, Memberikan masukan yang baik kepada orang lain, Memberikan pertolongan kepada orang lain,",5,2025-12-24 00:33:51
BOXXY 231,saya tidak tau melanggar apa tapi WhatsApp saya selalu di kenon/di band ini sangat menjijikan,1,2025-12-24 00:33:39
Muslim Sibolga,puas,5,2025-12-24 00:32:52
Leo Kopet,Apalah pake acara bikin fitur sekali lihat segala,1,2025-12-24 00:29:23
Nofa Ilham rama dani,hilangkan pemblokiran WA 24jam saya sebagai kurir sangat kerepotan kalau WA tiba² diblokir karena alasan spam,1,2025-12-24 00:29:17
Lukman Adhiwijaya,"WhatsApp saya Tiba Tiba kena block sampe 3x gara gara spam,padahal saya buka wa aja jarang,dan aneh nya setelah pulih beberapa menit kedepan kena block lagi aneh emang,Tolong perbaiki masalah ini, terimakasih 🙏🏻",2,2025-12-24 00:25:24
NugrohoDwi Aprilianto,"Update versi terbaru microphone gabisa masuk buat call, video call atau voice chat. bug apalagi ini wa wa padahal record video pake aplikasi kamera bisa. izin aplikasi sudah di on semua",1,2025-12-24 00:25:24
Yazid Rosyadi,baguss bangett,5,2025-12-24 00:24:30
Holis Hopipah,"WhatsApp Adain fitur edit caption dong di sw ,biar klo salah caption tuh ngga usah di hapus ,ngga harus bikin baru",5,2025-12-24 00:23:39
mhang yoyo,Good,5,2025-12-24 00:17:14
ompuakas 99,di updata malah ga bisa.dibuka,1,2025-12-24 00:17:00
Aqilla Hidayat,punya ku ga bisa d pake emot nya..,4,2025-12-24 00:16:49
Ninik Napisyah,"tiap buka status WA ada option status WA pakai versi terbaru, dibuka status sama saja",3,2025-12-24 00:15:35
Keyan atau Salma,"eum..... Kenapa ya kok kembali ke fitur lama?, Padahal dah bagus loh fitur terbarunya 💔",2,2025-12-24 00:12:39
Dani Hamdani,sangat puas,5,2025-12-24 00:08:22
Ponidi Ateng,"sangat membantu untuk tlpn vc pesan singkat, pokok nya the best",5,2025-12-24 00:08:13
sifaa park,bagus sih,4,2025-12-24 00:07:53
Hafizatuz Zuhriyah,"apaan tiba tiba wa ke reset, padahal memori ga penuh.",2,2025-12-24 00:07:26
Jaelani Ani,bagus bisa membantu 🙋,5,2025-12-24 00:05:27
Cha VLG,"Aplikasi Keren, minus story Non HD",4,2025-12-24 00:05:04
mel Mela,sangat bagus sangat berguna bagi semua orang😊🙂,5,2025-12-24 00:04:41
Tato Rujianto,sangat bagus untuk berkomunikasi dengan seseorang,5,2025-12-24 00:04:13
Juhandi Salawasna,d update malah kontak pada hilang terus,1,2025-12-24 00:03:01
kho,"fitur matikan notif ke chat pribadi tidak jalan, tiap 5 menit fiturnya mati kan tolol",1,2025-12-23 23:57:43
Buyuong Dona,oke,5,2025-12-23 23:54:42
Widya Mujiani9,restore the old WhatsApp info menu,1,2025-12-23 23:53:44
Nuha Nuha,tidak bisa menelpon,1,2025-12-23 23:52:58
Nur Hendiyanto,kenapa wa aku ga mau kebuka,5,2025-12-23 23:50:00
Hendra Belo,tidak bisa di buka karena di spam terus,1,2025-12-23 23:46:28
Jannah Nur,Bagus,5,2025-12-23 23:46:06
Rahaq Hana,"Ey, Kenapa kalo Beta masang status selalu buram macam masa depan ko, kasihlah Beta fitur biar bisa memilih pengaturan resolusi status, dan satu lagi, TU META AI BISA GOBLk kali ah, Beta Chatingan dengan aplikasi ai hentai masih responsif Ai hentai tu, sekian pendapat dari Beta, salam dari timur.",5,2025-12-23 23:42:52
Nurul Azkhyia,"sengaja bintang 5 biar ke baca siapa tau dapet solusi nya,, no watsap orang tua saya tiba tiba logout lalu di hack orang lain tolong bantuan nya",5,2025-12-23 23:42:50
Rany Azzahra,"ini kenapa ya, bisanya emang suka ada notif ""WhatsApp tidak menanggapi"" kalo terlalu lama pake wa dan sudah mulai nge lag, tapi hari ini saya gabisa chat an sama sekali, setiap buka wa selalu muncul notif itu, ini wa nya atau hp saya yang salah",4,2025-12-23 23:42:38
yuliardinawati lubis,baru disini belum fahan caranya,5,2025-12-23 23:42:15
Rofiah Diah,Mending tidak usah di update,5,2025-12-23 23:42:12
Iyah Narsiah,sungguh membantu saya dalam sihal singkat saya,5,2025-12-23 23:42:09
Vanto Toineno,Bagusan,5,2025-12-23 23:40:02
Dwi Cahyono,tiga buln sekali suruh memperbarui trs,2,2025-12-23 23:37:52
Mirza Hanif,sangat membantu,5,2025-12-23 23:35:58
Malaikat Kematianmu,"fitur musik untuk status tidak dapat berfungsi/digunakan dan juga ada masalah pada pengaturan notifikasi untuk ringtone. ketika disetel audio/ringtone baru, berfungsinya cuma 10-menitan, setelah itu nada dering kembali ke setelan awal default. mohon perbaikannya",3,2025-12-23 23:35:42
Wahyu Bagus Saputra,sangat membantu,5,2025-12-23 23:32:49
Heru Reza,serba mahal,3,2025-12-23 23:30:01
Enung Rochmah,lni alat buat berkomunikasi yg sering digunakan buat menelpon Pesan singkat vlog dan lain2.Sebuah aplikasi yg mumpuni.Salut buat operator,5,2025-12-23 23:29:32
Rasti syafrita Putri,berkomunikasi lebih mudah dan cepat tanpa iklan menjadikan pengalaman yg menyenangkan,4,2025-12-23 23:28:37
Nani,propesional,5,2025-12-23 23:27:10
Naura Zahidah,kren,4,2025-12-23 23:25:29
Adrianus Fherdy,ok,5,2025-12-23 23:25:11
Denok lobis Lobis,Alhamdulillah sangat berguna bagi saya terimakasih,5,2025-12-23 23:23:41
Anisa Muhar,nice,5,2025-12-23 23:22:02
Kucing Hitam,knp no sy kena spam. tolong watsap buka kembali no saya yg terkena spam,3,2025-12-23 23:18:33
Auw Imn,aplikasi sering logout sendiri nomor saya,1,2025-12-23 23:17:30
RAFI Cs,tidak bisa nelpon tidak bisa buat sw,5,2025-12-23 23:17:04
Udin Pahril,whatsapp aneh banget sekarang saya baru saja ganti sim di suruh download whatsapp versi asli padahal sudah versi asli saya download nya pas vidio call ga bisa rekam layar aneh bngt,1,2025-12-23 23:12:51
all GAME,gajelas jih whatsapp masa saya ga ngelakuin apa apa terus diblokir permanen😓😓😓,1,2025-12-23 23:10:58
Nanang Saryo,"makin kesini makin parah, masa tiap hari diblockir Mulu padahal ga pernah kirim/terima yg aneh2, jadi manghambat kerjaan",1,2025-12-23 23:07:59
Delfan Afandi,thank you ❤️,5,2025-12-23 23:07:01
Aqisya Zahratunida Irawan,seru,5,2025-12-23 23:04:07
Reyhan Ramadhani,kepada pihak WhatsApp jagan lagi nomer saya dispam lagi yah😔😭,5,2025-12-23 23:02:06
Gigih Yoga,kenapa ya kadang telat muncul wa nya,5,2025-12-23 23:00:29
Rosendy uchiha,masalah karena sudah tekan Selamatkan chat malah selamatkan sendiri lepas chat. tolong kak harus bantu perbaiki cepat selesai. sebelum terimakasih kak.,1,2025-12-23 22:54:10
Imam ajalah Imam,sekarang malah sering kena spam,5,2025-12-23 22:53:41
Muhammad Rizky,"aplikasi ini banyak fitur ane Dann bug bug yang tidak jelass kalo ada apk lain sudah saya pindah pakai apk lain.apk ini sunggu harus segerah di perbaiki lagii jangan sampai terjadi lagi,dan saya hanya mengirim pesan singkat ke orng yang berada di luar negeri tiba tiba apk ini langsung tidak bisa terpakai lagii sungguh aneh tapi nyata apk ini tidak cocok di pakai KLO Masi seperti ini",1,2025-12-23 22:53:05
Vindi,GK bisa buat nge sv nomer baru,1,2025-12-23 22:52:32
Fajar Ali,camera mohon tingkatkan,5,2025-12-23 22:49:01
Lapang Hasibuan,ok,5,2025-12-23 22:48:44
Yunaria Ardila,baru kalii ini gedek banget sama aplikasi,1,2025-12-23 22:48:28
si-21 laudry,Sangat membantu dalam era digital sekarang,5,2025-12-23 22:46:20
Pierre Tendean,"Akun saya kok bisa ke spam ya,padahal saya tidak melakukan apa-apa,saya tidak melanggar aturan yang diberikan oleh pihak developer,mohon di tangani,saya hanya ingin akun saya kembali,karena saya belum menyatakan cinta pertama saya",5,2025-12-23 22:40:33
Yuli Yulinar,saya sangat senang bisa berin teraksi sama teman atau kuluwarga,5,2025-12-23 22:35:53
Ery Ekklesia,Tingkatkan!,5,2025-12-23 22:30:09
Anisa Askadina,"aslinya mau ku kasih b5, karena baru beli kartu lansung ga bisa di pakai jadi nya cuma b3",3,2025-12-23 22:28:55
Aris Kiswandi,Ok,5,2025-12-23 22:28:38
Sri Dwi febriany,ada yang sama ga chat wa tidak bisa di sematkan? giliran bisa pas keluar chat atau chat dari org yang di sematkan hilang lagi ? aku sampe bbrp x uninstall wa takut hp nya error tp kaya nya bug dari wa nya 🙂‍↕️ tolong lah perbaiki,1,2025-12-23 22:27:03
Artha Sugiarto,Ok baik yesss,3,2025-12-23 22:26:34
Budi Budiman,mantap,5,2025-12-23 22:18:38
Indra Lesmana,bagus,5,2025-12-23 22:17:43
Sinta Wijayanti,kenapa saya mau download tidak bisa teeus,1,2025-12-23 22:16:22
Siti Aisyah,whatsapp itu sangat penting buat segala hal terutama usaha dan hubungan,5,2025-12-23 22:12:54
Adianto Bangun,Slaow,5,2025-12-23 22:12:22
Fransiskus Alberto Pio,Terima kasih telah membantu saya,5,2025-12-23 22:10:53
Hilmi Azhimi,Jelek. Metanya ngadat.,1,2025-12-23 22:09:46
Serba Guna,sangat membantu sekali whatsap,5,2025-12-23 22:05:35
Saiful,cukup bagus semoga lebih baik dan lebih bagus lagi ya boss,5,2025-12-23 22:04:16
أليفة,"bantu saya membuka wa saya didalemnya memuat teruss banyak data penting didalemnyaa mohon bantuannnya,🥲😭",3,2025-12-23 22:00:50
rika permata,ok,5,2025-12-23 21:54:13
Criss Jhon,"watsapp saya di gunakan org yg TDK di kenal , Tolong di pulihkan , Terima Kasih",5,2025-12-23 21:52:23
Ilham Pratama,Sangat baik,5,2025-12-23 21:50:39
Setia Budi,kenapa Watsapp saya selalu kena spam? sudah ganti nmor tetap kena spam.,3,2025-12-23 21:46:23
Iche Trisnawati,keren,5,2025-12-23 21:45:51
aulia widya putri wijayanti,apa apaann wa sy sering ke benned pdh juga ga mgpa ngpain,2,2025-12-23 21:45:19
Rikapuspitasari 123,"SElalu kena bug kenapa si ini wa gj banget tolong di perbaiki dong soalnya ini wa apl paling berharga banget di banding apl lainnya kalo ga ada wa susah mau ngapa""in juga tau!!!!! ALWAYS KENA BUG!!!",2,2025-12-23 21:34:55
Abdul Karim,whats up is the best,5,2025-12-23 21:31:01
Apin Apii,Updet Pngilan video diwastap sya supaya bisa sambil buka branda,5,2025-12-23 21:29:46
Ray Andco,nice,5,2025-12-23 21:24:53
damar wicaksana,kenapa sekarang fiturnya ribet chat orang baru langsung akun gak bisa dipakai katanya spam,1,2025-12-23 21:22:08
Wahyu Nurdianto,bagus,5,2025-12-23 21:16:03
Rafael Telaumbanua,"Tolong perbaiki aplikasi ini sudah tiga hari akun saya log out terus setiap kali keluar aplikasi karena dihubungkan dengan perangkat lain, tatapi saya mengira ini adalah bug karena saat kejadian saya memasang password dan verifikasi 2 langkah jika memang akun saya digunakan oleh orang yang tidak bertanggung jawab tapi permasalahan ini tetap terjadi. Mohon diperbaiki secepatnya 🙏🙏🙏",3,2025-12-23 21:12:20
Riziq Hagi,"Saya baru daftar WhatsApp dengan nomer baru, setelah terdaftar dan langsung chat teman satu kali tiba2 ada notifikasi akun saya di batasi dan kena blokir sementara selama 6 jam saya tidak bisa chat di semua kontak saya, bukan 1 kali saja tapi udah 3 kali selalu begitu, saya tidak pernah spam ataupun apapun itu yang melanggar ketentuan, mohon bantuannya ini kenapa???",1,2025-12-23 21:11:38
Kus Nadi,kenapa tidak muncul di layar utama whatsapp,4,2025-12-23 21:07:33
Dicha Dicha,kenapa ini kok bolak balik ke log out sendiri,1,2025-12-23 21:07:32
Rifat Januarta,"apalah ni aplikasi, makin kesini makin aneh, mau menyematkan chat malah katanya harus melepas semua sematan chat, padahal sematan chat sebelumnya udah di hapus kontak tapi chatnya masih tersematkan, gimana ni",1,2025-12-23 21:07:24
Lukmanul Hakim,"kebiasaan setiap kali diupdate, ada aja bugnya",2,2025-12-23 21:07:17
Yusuf Kurniawan,sekarang kalau buat video story jadi burik gambar videonya pecah beda jauh dengan video yang ada di hp,2,2025-12-23 21:02:32
tria adel,"oii whatsapp ini kenapa pas mau masukin kode verifikasi malah nge-freeze, ga bisa disentuh, ga bisa dimasukin kode verifikasinya jadinya",2,2025-12-23 20:51:26
Helin Kefret,se andai nya bisa buat lirik lagu sendiri keren whatsapp ini,5,2025-12-23 20:48:56
Rahma Dio (Dio),ok mntap,5,2025-12-23 20:46:36
Gopang Gopang,Alkhamdulilah bisa aktif,5,2025-12-23 20:39:49
Irjay JiO123,saya akan menabah bintang untuk Apk yang mampu menjangkau jarak aktifis dari jauh dan dekat terimakasih.,2,2025-12-23 20:39:32
Rudi Turjono,Bagus,5,2025-12-23 20:23:00
adelia putri,gabisaa buka akun karena spam chat,5,2025-12-23 20:18:19
